0303r	卧室的写字台可以不用死板~ ​​​	[<Hey915>: @世界真的不会为你担心,<TEL亿72562>: 回复 @装修要健康 :好吧 原来我,<扎心小天使>: 回复 @林肯Lyn-Ken :我也喜欢，这个可以实现的,<还是飞鱼吧>: 回复 @路遥的璐瑶 :挺好的,<装修要健康>: 回复 @TEL亿72562 :这是定做的[汗],<林肯Lyn-Ken>: @扎心小天使   我就喜欢这种的[坏笑],<最近腹肌又少了8块>: 首先要有个家才行,<巴黎奢侈品原单包包ll>: 回复 @你的眼睛像颗水晶通透 :包包墨镜帽子都有[舔屏][舔屏][舔屏],<掉雨先生>: @最后的嬉皮士L  吼喜欢这种风格,<请给我一打鸡蛋>: 好喜欢这种现代简约式的… 可自己家是传统中式的… 卧室也不够放写字台,<小孙淘气>: #家居设计#  ,<雲水禪心1101>: @PleasecallmeJiasir,<依然的自我是否改变>: @工作的孑乚士口  参考,<言丿蹊>: 回复 @雨田炮炮 :照这个不就可以有类似飘窗的样子,<土加菲猫--佐城>: @时毛加菲狗  悬挂的写字台不错,<Cc_suri呀>: @困蒙逼了   这个好棒,<丁丁猪的猫>: @可爱滴Totoro,<非洲小骡>: @Yamy刘亚妹  还我的写字台[笑cry][笑cry],<Ymmmm杨温暖>: 回复 @深娘_lzxl :图七 图九 [太开心],<深娘_lzxl>: @Ymmmm杨温暖,<招网拍模特你再也不是我的了>: 回复 @台风少女_ :就当作刚刚那个想法没出现过吧！,<黑道大王史迪奇-董>: 回复 @点点nori :我嫌小[doge],<点点nori>: @黑道大王史迪奇-董  好看,<将合>: @跳钢管的小新  [并不简单][并不简单]好看啊,<十斤啊_>: 回复 @QA-VA :你还记得万达里有个整体家装的那个店么 他家好像有这种,<那一点点心情>: 得闲回去改装一下,<涵豆小姐>: 好看，我就缺一个这样的写字台,<Hi-Jup君>: @過去_喚醒了FUTURE,<_____不吃馒头>: @捉鸡的青二娃子,<大仙yo>: @Mrironcc,<长腿老人>: @viddmer,<布衣小岛>: 回复 @农场的小蛇 :简约原木我也喜欢[哈哈],<农场的小蛇>: @布衣小岛  这些色调都好喜欢[太开心],<南宁桂之美装饰公司>: 又到了11：11这个点，每次到这个点我就在想，肯定又有人想我了，因为我手上有728会展中心的门票呀[坏笑],<张大哥的主人>: @全能基主  我其实就是这样滴,<陌路人的爱恋>: 以后自己的家自己来设计，处女座的威力不容小觑！,<日子就是阳光和我>: @我说减肥堪比整容,<妲己再美_却终是妃>: 喜欢这样的 @龙口组铁锨小新,<SYLeeY>: 没招儿，我卧室12平米，我妈非得给我个大床，一下子就没地方了，我还喜欢大桌子，根本没地方放啊,<洪學勤>: @LionQuuu,<TEL亿72562>: 东西要在哪里买呢 好喜欢 就不知道在哪里能买到,<KuyTAKA丶>: @米糕Pudding,<董文琦i>: 有一个属于自己的小家 可以这么设计一下，好喜欢那个榻榻米,<台风少女_>: 回复 @家居DREAM :QQ加回来了刚才[太开心],<可乐味的猫丿>: @不穿短裤的理发师  1,<您所呼叫的豆芽不在服务区>: @没有创意的Licht   这个我们也可以借鉴一下呀,<小矮子ananan>: @诺言89603   选一个吧[爱你],<家居DREAM>: 回复 @台风少女_ :扎心了,<L昊昊昊昊>: @她们非让我改名字,<台风少女_>: 好想和别人一样艾特给你，发现昨天刚把你拉黑]
0303r	层高3.5米的35平小复式公寓，太赞了！ ​​​	[<只想知道有没有第二个宣宣>: @Mr_凡先森____  这样好好看,<阿呜叽>: 回复 @我有一头小毛驴zzf :喜欢小复式[污],<我有一头小毛驴zzf>: @阿呜叽  就是想要一个这样的小公寓[污],<龚小黑黑黑>: @龚小黑黑黑的男票   ,<请叫我奔跑的皮皮虾>: 回复 @请叫我奔跑的皮皮虾 :嘿嘿,<呀是Libra>: 回复 @请叫我奔跑的皮皮虾 :[爱你][爱你]我也是诶,<私奔奔奔奔丶>: @差差差太多先生  好喜欢这种风格的,<Liafoxy>: 回复 @啊贻哦 :好好看啊 以后住这样的也可以🤓,<水木之材>: 回复 @你的陈可爱小姐 :我的梦想[色],<磋磋的兮兮>: 回复 @李修建的77号 :不错，不过效果图这么好看跟灯光有特别大关系,<面条爱吃包子>: @果冻君Chasel,<啊贻哦>: @Liafoxy  我的梦想[爱你],<请叫我奔跑的皮皮虾>: @呀是Libra  就想要这种感觉的房子,<一个人也要去吃火锅>: @两人一起吃火锅   喜欢这个,<瑾荣同学>: 好喜欢啊[心][心],<is_CHenQIAng>: @卡人张  这个你喜欢吧 但是小了点,<2梦露Mm>: @-lemon康阳   咋样,<一骑士向前一>: @先森先森你好啊  这个我可以接受,<吧唧大哥>: @zhao宇巍  好看,<iim_y>: @Jason绪312,<謋蠹>: 回复 @用户5651632138 :[哈哈],<惊叹号小姐_R>: @H_m_x_r,<AnnaGaoMonkeyWithWangPuppy>: 回复 @雅仝Aaby :你不是我爱人，我爱人特别温柔[白眼],<雅仝Aaby>: 回复 @AnnaGaoMonkeyWithWangPuppy :SB,<AnnaGaoMonkeyWithWangPuppy>: 回复 @雅仝Aaby :想想就好啦[并不简单],<无爱一身轻不将就>: 哪里可以买到沙发,<雅仝Aaby>: 回复 @AnnaGaoMonkeyWithWangPuppy :爱,<AnnaGaoMonkeyWithWangPuppy>: @雅仝Aaby  喜欢吗,<f和f还有小黄人>: 特别喜欢的复式单身公寓，,<hswan_>: 回复 @lukas_ :看看大体的风格嘛，又不是要一模一样的,<lukas_>: 回复 @hswan_ :层高没那么高啊,<RT1994婷>: 回复 @哇塞好昵称 :单身公寓,<我很劉潔瑩>: @平淡才是真yxz,<罗玫玫要长大>: @爱玫玫真的太好了  这个还不错,<小阳是个饭桶>: @小yang在外面,<用户6208201932>: 回复 @三二一一二三1990 :同问,<蚂蚁蜗牛先生>: @RT1994婷  这个咋样,<咎-落>: 3.5米是不是太矮了点？,<三二一一二三1990>: 沙发墙的灯和沙发哪里买的了？好看,<___VACANCY___>: @徐珊_Bingo,<Wn_Yvonne>: 回复 @失忆的咪丽 :好~,<失忆的咪丽>: @Wn_Yvonne  好喜欢，给你参考啊,<杨济豪的楚雁潮>: 真的好喜欢复式楼，爸妈认为是“你是家里的房子住惯了”[笑cry]  http://t.cn/RoQsy6p]
0303r	120平简约美式三居室~ ​​​	[<暮友白日梦>: @魄不得已  这个好看,<上海喜盈门>: 瞬间点亮整套房间的红色沙发和绿色背景墙。[good],<Kira德航>: @颖怡yee  点解人地120平好似咁大？,<天津星杰国际设计>: 美的呢// @微博家居 :  #我的家妆#  简约美式风 温馨的不像话]
0303r	新房装修的时候你想用白墙还是壁纸（讨论一下） ​​​	[<Pauline胖丁>: 白墙啊   能自己加点装饰在墙上  多好[喵喵],<李尚斌crush>: 我也在考虑这个问题、第一次装修不太懂,<HanniAmor>: 黑白灰 反正不用壁纸,<张朵颐>: 回复 @家居DREAM :为什么呀,<HoneySiyao>: 喜欢白墙！！ 好看！好摆放物品！好有艺术馆效果,<家居DREAM>: 我是不会用壁纸的[doge]]
0303r	90平蓝色主调简约，如夏天海边的凉风 ​​​	[<后来才说明白>: @青石崖-ZERO,<陈呆呆18>: @用户6050607446   啊啊啊，喜欢[花痴],<起个搞笑的名字呛是有点难列>: 回复 @小机智的大逗比 :可以！喜欢！,<k啦k啦>: @100次个明天   喜欢,<小机智的大逗比>: @起个搞笑的名字呛是有点难列,<凉夏夏Fei>: @kiss-199611  喜欢,<一条不会水的鱼呀>: 这个客厅感觉好棒 @我有一架小灰机,<包泽龙>: 回复 @迷死旺旺旺 :这不咱家吗,<刘多多要发>: 是蹲厕嘛？[脸红],<月半女亭丿乚>: @包泽龙  [兔子]喜欢]
0303r	第一次去厦门必去鼓浪屿，鼓浪屿攻略拿走不谢[爱你] ​​​	[<Vivian路痴已走丢>: @站着别动我去找你,<胡开心zz>: 去鼓浪屿坐什么船 从哪个轮渡？,<胡开心zz>: 去鼓浪屿坐什么船 从哪个轮渡？,<我叫鱼太郎>: @Betty525,<丁小宇0>: 回复 @耳朵小五 :你这简单粗暴,<迷离_圆艳艳>: 写的好详细，很棒，赞[鼓掌][鼓掌][鼓掌],<王娜小妖>: @Yangyan-木易,<张小元er>: @byon-Li,<筱筱男神经>: 明天就要去大厦门的我看得好激动[爱你],<Aysv>: 回复 @我想听你不说话 :已拿,<笋丝小朋友>: @happiness_201512   @-Malta-,<已成回忆1388>: 去鼓浪屿船票往返是35，那有没有限制最晚几点出鼓浪屿,<马大哈露露Ruby>: 有没有让你觉得值得再去一次的地方？我过几天去，真心想听下您的意见,<你好我是思羽>: @尹晓美Olivia   @我闺蜜男友最体贴,<ifZORA>: @小尾巴狼998,<罗宾森男爵>: @能爱阿毛真是太好了,<嘿-姬姬>: @SUN阿蛋爱鸡涌,<抹茶tttt>: 回复 @奈何桥下的饿死鬼 :要去啊？,<Mo-傏YJing>: @糖宝Tacita,<Genlence>: 请问你们这可以彩印海报吗？？宣传海报那种。,<一人一山又几点>: 回复 @小桥流水人家zyyyyy :就最近吧,<小桥流水人家zyyyyy>: 回复 @一人一山又几点 :就问你啥时候去,<姑娘璟小>: 回复 @松鼠的树咩 :晒黑一点而已🌚🌚,<这次一定一定要把密码记住>: @十二二二Katarina,<YS_Fhy>: @3620啊啊啊   @张青凯不姓张,<VK爱香瓜>: 回复 @蔡晨晨晨晨晨 :攒钱 挤时间[脚印] 🏝️,<鹿七七七七七鹿>: 回复 @姑娘璟小 :🌝🌝热一点人多一点而已,<雾里看花DENG>: 回复 @随意757 :同问,<楠芳以南>: @俺就是你大猴哥,<h小桃子->: @大橙子love小桃子,<果砸菠萝>: 回复 @样样15元 :哇,<火星来的Y舒>: 我也看了，都收藏了[污][污],<怪我过分着迷n_>: 一点都不好玩，送我去我都不要,<mxloooo>: @William_Ssinz7   @洪爺門Giwawa,<筱蒣2871040081>: 回复 @Minpriboice :走走走,<Darling林叶>: @周莉亚萝卜丝   她们济南的都只人均3000 到时我们可以住好一点的，加油存钱[二哈],<七分颠3分傻>: 回复 @一人一山又几点 :[污],<一人一山又几点>: 回复 @一人一山又几点 : @小桥流水人家zyyyyy,<一人一山又几点>: 回复 @七分颠3分傻 :艾特错了！,<七分颠3分傻>: 回复 @一人一山又几点 :[微笑]要一起去吗[哈哈],<Halo_LoTing>: @NGMIUWAH,<顾朗凉生>: 在厦门上班的我，还是忍不住看几眼,<Q小Q在变得更好的路上>: @准备瘦腿呢_loey  mark,<嗨呀Solar>: @别看我只是一只羊哞,<姑娘璟小>: @松鼠的树咩   所以大夏天是不适合去的咩😵😵,<real___zyffffff>: 强推！！集美中学！！太美了！！,<Minpriboice>: @筱蒣2871040081,<进击啦TUTU>: 明天就去厦门[亲亲]真及时,<Neroli->: @June1991Ni,<海怡Vivian>: @Giselle_zhu    @扛起胖达就跑]
0303r	亲爱的小伙伴们，能不能帮我推荐一个头像，想换头像已经很久很久了，一直找不到中意的头像[泪] ​​​	[<小户型装修设计小窝>: 赞我，让博主看到  http://t.cn/R6rD3eB,<小户型装修设计小窝>: 图片评论  http://t.cn/R6rD9zI,<何小欢欢0224>: 图片评论  http://t.cn/R6re5qx,<Kevin张继宏>: 图片评论  http://t.cn/R6rg92l,<熊童子先森>: 你这是歧视我们这种非会员不能发图片[摊手][摊手],<杜润谢航燕>: 给你我的自拍当头像 哈哈哈哈哈哈哈哈哈哈  http://t.cn/R6rgX3j,<废闺女>: 你要想跟我情侣头像的话我就发给你,<秋天的童话199110>: 图片评论  http://t.cn/R6rgwe3,<小面包0214v>: 图片评论  http://t.cn/R6rghAy,<minniechen1109>: 微博正文那张就不错，还可长期打广告，长期征用[笑cry][笑cry][笑cry],<劉菁偉_>: 图片评论  http://t.cn/R6rdond,<兔拌酱>: 图片评论  http://t.cn/R6rdocv,<极简控>: 图片评论  http://t.cn/R6rBCN9,<家居DREAM>: 回复 @暖小居 :怪，别闹,<3Twinkles>: 图片评论  http://t.cn/R6r1kTO,<暖小居>: 图片评论  http://t.cn/R6r1mUI,<年年年____>: 图片评论  http://t.cn/R6r1I0I,<丿造王者>: 图片评论  http://t.cn/R6r12Ku,<家居DREAM>: 如果不能图片评论可以发我私信]
0303r	旅游照想刷爆朋友圈？拒绝呆板的游客照！这几招很实用。 ​​​	[<我是小乖妈咪啊>: @柠檬味丶小小洋   @染Vooooo   @为了变成瘦子的宋小文,<飞翔的巨蟹君>: 回复 @吉草草不采蘑菇了 :收藏[好喜欢],<补_补>: @我的石榴是酸的,<极简控>: 五一马上就到了，收藏。,<梁羽君>: @郭梦璇_Xanthe]
0303r	杨丽萍私宅月亮宫美哭了 ​​​	[<婷宝儿在世>: 把自己得人生过成了一种艺术。真崇拜！,<Repeataftermepls>: 看图5 @比伯伯  哈哈哈哈哈哈哈哈哈哈哈哈,<迷一样地男子>: 图片评论  http://t.cn/R6KWd6V,<陈家陈老夫人>: 是我的话不敢住这里,<Meet-Silas>: 太漂亮了🤓🤓  http://t.cn/RVR6VGZ,<l红酒烩鸡>: 鲁豫的头发[思考],<大和上>: 后脑勺像外星人的是谁！]
0303r	仙女系列风格 ​​​	[<RubyAmir>: 回复 @镱哈哈 :啥,<荔枝不怕甜>: @这荔枝甜到掉牙了i,<镱哈哈>: @RubyAmir  我们家要这样你还来吗,<AlanDoraemon想做小骄傲>: @肖大宝与啦小宝,<我是盒子妹妹呀>: 仙女要转发[doge],<张中艳的>: 回复 @mh1美好 :真羡慕这些仙女的屋子,<DDDDDDeutschland>: @Meggie醒一醒,<草莓味的木头墩>: P1 P2的灯笼有链接吗[爱你],<mh1美好>: @dm啾啾啾   @宅猪大人DaZHoM,<Mr-Lily>: @lc勇初  这种很温馨,<苏某某_s>: @李栋泉  我要告诉设计师，我走仙女风格,<Nicholas__Luo>: 回复 @壮志在欢心 :啷个改造 要弄些啥,<壮志在欢心>: @Nicholas__Luo  我觉得我卧室可以慢慢改造下,<坎瓢老敢>: @周XUE茵  仙女,<麻瓜高的小仙女Q_>: @仙女锤的大麻瓜W_,<账号被查验>: 回复 @威廉孙还是孙威廉 :简直想助跑10米一头栽进那个床哈哈哈哈,<柴哈哈要撞北墙>: @Trillo丶  这个好漂亮]
0303r	年轻人的第一套房应该如何装修，值得借鉴。 ​​​	[<申申_27>: 回复 @天堂鸭子 :60年代的潮流嗎,<土豆小沙弥>: 城乡结合部，出来bb哈哈[开心][开心][开心],<凯特笔记>: 好[doge][doge][doge] http://t.cn/R6ySZwU,<摸金校尉王起靈>: 厉害了你的电视墙,<珍心画ART>: [哆啦A梦花心]觉得很棒啊,<沐几家居>: 年纪大的我喜欢你做的这套  @池袋西口胖头蛇    http://t.cn/R6U4z50,<武汉朗曼设计>: 这设计，不如找我[doge],<哒啦哒啦啦这也是个小曲儿>: 回复 @隔壁住着的不是老王 :你没拍吊顶级沙发背景墙，没看到整体不好评价。毕竟我也是设计师的，去评价也不好。按理说武汉可是准一线城市，设计师的水平应该不底啊。设计师当时应该和你们沟通好了吧，你们当时应该也看效果图确认的吧,<隔壁住着的不是老王>: 回复 @哒啦哒啦啦这也是个小曲儿 :是请的设计师设计的，都是包给装修公司的，而且还是本地前五的装修公司，所以每个设计师的想法和欣赏不一样，有的是看着好看，住着不方便，有的看着不怎样，住着却很舒服，当然，我家是住着看着都不舒服[笑cry],<夺命一碌杉>: 90平米还说房子不大~~~~,<哒啦哒啦啦这也是个小曲儿>: 回复 @隔壁住着的不是老王 :反正自己住的，觉得着舒服就好。如果要是叫人家设计可能会更好。至少颜色搭配和材料的选择上可以弥补好多东西。,<隔壁住着的不是老王>: 回复 @哒啦哒啦啦这也是个小曲儿 :就武汉的，包含家具和中央空调，但是四个卧室只装了主卧和一个榻榻米，俩儿童房都空着的,<哒啦哒啦啦这也是个小曲儿>: 回复 @隔壁住着的不是老王 :你是那个地区的。那么贵，包家具了吧。应该请设计师设计的,<hyw_超级无敌小可爱>: 回复 @豆包豆包酱 :借楼打个广告[污]想要好看衣服的小仙女戳我吧，价格美丽~,<神秘小口十>: 说实话，一开始还以为多好看。。,<Lonely-her>: 我的俩卧室太小，真的小，现在是租给别人的，以后我要住了，我也不知道怎么装修了，哎,<隔壁住着的不是老王>: 回复 @哒啦哒啦啦这也是个小曲儿 :之所以说想哭是因为去年年底装的，还没去入住，只是过了个年，本想装美式，可是婆婆家装的美式，而且美式报价要50几万，于是选择欧式，但是还是花了接近50万装修[笑cry],<na颜小妞>: 回复 @豆包豆包酱 :我也想这么说,<哒啦哒啦啦这也是个小曲儿>: 回复 @最爱抹茶啦 :毕竟年轻人自己出了1%的钱……所以还是听父母的吧,<哒啦哒啦啦这也是个小曲儿>: 回复 @隔壁住着的不是老王 :你家这个应该是02-07年之间装修的吧，这在当时是豪宅啊,<哒啦哒啦啦这也是个小曲儿>: 这房子的设计和装修都不如40年代港片里的好看,<暴力大朋友>: 我能说真的很丑么[偷笑],<爽粉条儿i>: 回复 @池袋西口胖头蛇 :[哈哈][哈哈][哈哈][哈哈][哈哈],<爽粉条儿i>: 最怕很多设计师为了美观，牺牲了很多实用性，我觉得设计师再怎么设计，还是要遵从业主的需求为主。毕竟房子业主在住。很多设计师都得意洋洋自己的大作。可是后期很多使用过程中的局限性根本不管。,<池袋西口胖头蛇>: 回复 @爽粉条儿i :这是给另一对年轻人设计的[爱你] 可以去看看我微博 说不定有你喜欢的[喵喵]  http://t.cn/R6yDprP,<爽粉条儿i>: 虽然每个人的审美不一样，但是我觉得自己家自己喜欢就好。自己觉得美，自己觉得开心就行[傻笑],<爽粉条儿i>: 回复 @池袋西口胖头蛇 :作为年轻人，还是比较喜欢现代简约，北欧风，不喜欢深色家具，纯个人喜好，不喜勿喷。,<池袋西口胖头蛇>: 回复 @禹小阳阳 :灰色,<常小乐非常乐>: 回复 @家居DREAM :谢谢 我不太需要,<天堂鸭子>: 回复 @大_苹果 :这是流行[笑cry],<禹小阳阳>: 回复 @池袋西口胖头蛇 :请问墙体是什么颜色？,<家居DREAM>: 如果需要免费设计点击链接  http://t.cn/RJzuDqS,<亲爱的偏执狂pzk>: 回复 @豆包豆包酱 :丑哭[二哈],<双双夏夏>: 回复 @豆包豆包酱 :我朋友家电视背景也是这样的，据说是她公公得意之作[笑cry],<池袋西口胖头蛇>: 回复 @咸鱼CaeEru :谢谢,<努力努力再努力_lxs>: @J1ngSonGHan,<缱七绻>: 这真是…好的审美影响一生啊[二哈],<戚一帆>: 先马，20年后再翻出来看。,<花式炸胡m>: 回复 @池袋西口胖头蛇 : @LoveAris,<王十个>: 说真的，装修就算不找公司也要找专业的设计师做前期设计，我做室内设计的，见过太多自己装的业主，不仅功能分布不好，风格配饰也是土的掉渣。,<YYYYYYanYYUe>: 我家的， 幸好他爸妈不在家， 不然也不知道会花成啥样，非要挂十字绣在框框里[哼] 左下角是那种电炉子，一开始我也是拒绝的， 但是南方的冬天， 唉！  http://t.cn/R6yUP61,<怡娃儿-Lee>: 回复 @池袋西口胖头蛇 :这是效果图吧,<毛运球再出发>: @酷爱装逼的说英语的富帅丁老湿丶,<酷迪酷迪>: 太丑了吧……还是找个装修公司吧,<常小乐非常乐>: 自己家就得自己设计  http://t.cn/R6LDBL2,<酷酷的阚>: 回复 @豆包豆包酱 :我也是这样觉得,<一口把你eat掉>: 回复 @豆包豆包酱 :做设计的我感觉憋不住了,<爱信飞飞>: 回复 @豆包豆包酱 :我也那么觉得额,<凹你个设计>: 回复 @家居DREAM :可是你转发了,<咸鱼CaeEru>: 回复 @池袋西口胖头蛇 :好棒，很喜欢这种风格！,<咸鱼CaeEru>: 回复 @美的空气净化器 : @海尔  快来老铁[笑cry]]
0303r	偶尔发个自拍不会掉粉吧[笑cry] ​​​	[<Jashow1994>: 不会掉粉，会掉头皮屑[偷笑][偷笑],<任一宾>: 你竟然是这种G 哈哈哈,<杨妞妞0o>: 阳光大男孩[爱你],<杨妞妞0o>: 男神只会吸粉[太开心][太开心]]
0303r	一个半月，花最少的钱装出北欧风 ​​​	[<最-Super帥>: 3米8的层高，隔两层，厨房、二层卧室不压抑吗？,<小眼睛_大酒窝>: 家被一点点填满的过程特别幸福，比给人家一个毛坯换来一个可能是自己要将就的小屋来的有意义的多,<CINDY吃货学设计>: @黑夜白天不分君,<金德鲁大叔>: 这个隔层隔的什么啊,<独行熙然>: 这些东西都有链接吗,<你咋不上天呢hhh>: @oAneal  量身定制啊,<小丫的丸子>: @天空_style,<倒倒斗儿>: @jinzihe,<扭曲的树精ii>: @进城务工农民工  好好看啊,<家居DREAM>: 回复 @木易下 :各有各的利弊，但自己装绝对是钱要少，当然少了钱自己就要费时费力,<木易下>: 回复 @家居DREAM :最主要是费时费力，就找电工木工和水泥工的问题，你能确定售后服务能找他们？文章也提到了自己找的师傅手艺也不太行，还得自己动手填补之类的，况且如果在施工途中出了什么事肯定是找自己啊，也不是说自己装不行，反正自己的房子喜欢什么装修方式也是自己的事，[开心]我就发表一些自己的意见而已！,<我只想静静的剁手>: 回复 @家居DREAM : @我只想静静的剁手 ：装修师傅团队找的蛮好的…省事,<我只想静静的剁手>: 回复 @木易下 :装修师傅团队找的蛮好的…省事,<家居DREAM>: 回复 @木易下 :7万硬装加软装，你找装修公司装完我跟你姓,<木易下>: 其实找个家装公司也差不多的价格，自己装修找材料不仅要一家家对比材料质量之类的，还浪费时间。。。,<茶呆呆的双马尾炸了>: @ajatha_  蛮好看的]
